config,n_programmes,cov_mean,cov_std,top1_unique,head_tied,top5_generalists,top5_max_repeat,top1_score_mean,top1_score_max,top1_score_median,score_mean_all,score_median_all
uniform[weighted_jaccard],45,0.5077,0.0695,22,35,8,23,0.2068,0.5,0.1959,0.0749,0.0706
uniform[overlap_coeff],45,0.4896,0.0812,13,30,12,36,0.9503,1.0,1.0,0.2885,0.2727
uniform[programme_recall],45,0.5037,0.1156,12,30,12,36,0.9481,1.0,1.0,0.2826,0.2667
idf_uncapped_no_tier[weighted_jaccard],45,0.6014,0.0761,23,34,10,24,0.1401,0.339,0.1323,0.0417,0.0369
idf_uncapped_no_tier[programme_recall],45,0.6421,0.1486,10,30,12,38,0.9522,1.0,1.0,0.1986,0.1762
idf_cap3_no_tier[weighted_jaccard],45,0.597,0.0806,24,31,10,24,0.1569,0.4015,0.1482,0.0467,0.0416
idf_cap3_no_tier[programme_recall],45,0.6078,0.1451,10,30,11,38,0.9522,1.0,1.0,0.2128,0.1925
idf_cap25_no_tier[weighted_jaccard],45,0.5907,0.0811,25,33,11,24,0.1684,0.4249,0.1591,0.0507,0.0455
idf_cap25_no_tier[programme_recall],45,0.5904,0.1424,10,30,10,37,0.9521,1.0,1.0,0.2223,0.2024
idf_uncapped_tier[weighted_jaccard],45,0.6704,0.0757,25,29,7,20,0.1376,0.2781,0.1353,0.0363,0.0305
idf_uncapped_tier[programme_recall],45,0.7226,0.1755,11,33,10,39,0.9574,1.0,1.0,0.1798,0.1533
idf_cap3_tier[weighted_jaccard],45,0.6646,0.0812,25,26,8,20,0.1529,0.3657,0.1459,0.0404,0.0344
idf_cap3_tier[programme_recall],45,0.6855,0.1703,11,33,10,38,0.9574,1.0,1.0,0.1928,0.1662
cap3_no_tier_prog_idf[weighted_jaccard],45,0.566,0.0698,31,31,9,11,0.1523,0.2729,0.1523,0.0518,0.047
cap3_no_tier_prog_idf[programme_recall],45,0.605,0.1326,10,11,11,34,0.8081,1.0,0.8109,0.1644,0.1482
cap3_progidf_impl_uniform[weighted_jaccard],45,0.566,0.0698,31,31,9,11,0.1523,0.2729,0.1523,0.0518,0.047
cap3_progidf_impl_uniform[programme_recall],45,0.605,0.1326,10,11,11,34,0.8081,1.0,0.8109,0.1644,0.1482
cap3_progidf_impl_linear[weighted_jaccard],45,0.5825,0.0737,32,35,9,9,0.1648,0.364,0.1602,0.05,0.0454
cap3_progidf_impl_linear[programme_recall],45,0.6515,0.11,9,13,8,32,0.8153,1.0,0.8394,0.1636,0.1427
cap3_progidf_impl_sqrt[weighted_jaccard],45,0.5619,0.0692,29,37,9,12,0.1569,0.3244,0.1531,0.0504,0.0462
cap3_progidf_impl_sqrt[programme_recall],45,0.6214,0.1152,8,13,9,34,0.8101,1.0,0.8109,0.1648,0.1455
FINAL,45,0.6899,0.1731,19,10,5,28,0.323,0.6278,0.2891,0.0531,0.0388
