programme_id,programme,institution,baseline_job,baseline_score,baseline_jid,three_channel_job,three_channel_score,three_channel_jid,three_channel_secwm_job,three_channel_secwm_score,three_channel_secwm_jid,three_channel_secmax_job,three_channel_secmax_score,three_channel_secmax_jid,ch_secwm,ch_secmax
0,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),0.3148,196,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),0.3358,196,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),0.4187,196,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),0.354,196,,
1,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Compliance & Process manager,0.2036,230,IT skyriaus administratorius (-ė),0.2994,164,IT skyriaus administratorius (-ė),0.2327,164,IT skyriaus administratorius (-ė),0.244,164,Y,Y
2,Information Systems,Kaunas University of Technology,IT sistemų testuotojas (-a),0.2475,393,Duomenų inžinierius (-ė) – analitikas (-ė),0.3021,275,Verslo sistemų ir procesų analitikas (-ė),0.3087,303,Duomenų inžinierius (-ė) – analitikas (-ė),0.295,275,Y,Y
3,Information Systems,Vilnius Gediminas Technical University,IT sistemų testuotojas (-a),0.3366,393,IT System Team Coordinator,0.4056,366,IT System Team Coordinator,0.3873,366,IT System Team Coordinator,0.3543,366,Y,Y
4,Marketing Technologies,Vilnius University,E-commerce Customer Success Manager (Account Manager),0.2515,207,Mid/Senior Meta Media Buyer,0.3058,437,Supply Chain Continuous Improvement Intern,0.3297,248,Supply Chain Continuous Improvement Intern,0.3303,248,Y,Y
5,Bioinformatics,Vilnius University,Data Analyst SQL Python with verification,0.6771,516,Data Analyst SQL Python with verification,0.5423,516,Data Analyst SQL Python with verification,0.51,516,Data Analyst SQL Python with verification,0.5293,516,,
6,Artificial intelligence,Kaunas University of Technology,MLOps engineer with expertise in Ray and Kubeflow vLLM SkyPikot on kubernetes,0.5256,161,AI SOLUTIONS EXPERT (F/M/D),0.5665,279,AI SOLUTIONS EXPERT (F/M/D),0.5365,279,AI SOLUTIONS EXPERT (F/M/D),0.5273,279,Y,Y
7,Information and Communication Technologies,Vilnius Gediminas Technical University,Integration / Automation Engineer,0.2141,383,Integration / Automation Engineer,0.3139,383,Integration / Automation Engineer,0.2593,383,Integration / Automation Engineer,0.2801,383,,
8,Information Technologies,Vilnius University,IT Sistemų administratorius (-ė),0.2513,281,IT Sistemų administratorius (-ė),0.3807,281,IT Sistemų administratorius (-ė),0.3174,281,IT Sistemų administratorius (-ė),0.5061,281,,
9,Informatics,Kaunas University of Technology,IT sistemų administratorius (-ė),0.2607,381,IT sistemų administratorius (-ė),0.239,381,IT sistemų administratorius (-ė),0.2908,381,IT sistemų administratorius (-ė),0.3156,381,,
10,Informatics,Klaipėda University,IT ADMINISTRATORIUS (-Ė),0.3281,415,IT ADMINISTRATORIUS (-Ė),0.4098,415,IT ADMINISTRATORIUS (-Ė),0.4744,415,IT ADMINISTRATORIUS (-Ė),0.5702,415,,
11,Informatics,Klaipėdos valstybinė kolegija / Higher Education Institution,MS Power Developer with verification,0.1398,472,MS Power Developer with verification,0.2594,472,BI programuotojas (-a),0.1536,65,Full-stack software engineer,0.184,155,Y,Y
12,Informatics,Vilnius University,IT SUPPORTER with development opportunity in Data Integration,0.2347,341,IT SUPPORTER with development opportunity in Data Integration,0.3129,341,IT SUPPORTER with development opportunity in Data Integration,0.3152,341,ERP konsultantas (-ė) (SCM),0.3375,377,,Y
13,Informatics Systems,Vytautas Magnus University,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2909,89,DIRBTINIO INTELEKTO IR AUTOMATIZACIJŲ VADOVAS (-Ė),0.2946,83,DIRBTINIO INTELEKTO IR AUTOMATIZACIJŲ VADOVAS (-Ė),0.3058,83,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.284,89,Y,
14,Cybersecurity Technologies,Vilnius Business College,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.3525,58,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.446,58,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.3979,58,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.4204,58,,
15,Computer games and animation,SMK College of Applied Sciences,Game Designer,0.5141,287,Junior QA Mobile Game Tester,0.4787,313,Junior QA Mobile Game Tester,0.4707,313,Game Designer,0.4692,287,Y,
16,Media Technologies,Vilnius Business College,Senior IT Project Manager (REMOTE),0.3223,301,Senior IT Project Manager (REMOTE),0.3521,301,Senior IT Project Manager (REMOTE),0.3617,301,Senior IT Project Manager (REMOTE),0.3684,301,,
17,Multimedia and Internet Technologies,Vytautas Magnus University,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,0.4375,403,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,0.4979,403,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,0.5585,403,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,0.5396,403,,
18,Programming and Internet Technologies,Vilnius Business College,Dynamics 365 projektų vadovas (-ė),0.2535,119,SAP DATA Services Developer with verification,0.2926,512,Paid Summer Internship in the IT Department,0.279,81,SAP DATA Services Developer with verification,0.2744,512,Y,Y
19,Digital Design Technologies,Lithuania Business College,Vyr. IT projektų vadovas (-ė),0.3168,557,Vyr. IT projektų vadovas (-ė),0.3671,557,Vyr. IT projektų vadovas (-ė),0.3519,557,Vyr. IT projektų vadovas (-ė),0.3496,557,,
20,Applied Informatics and Programming,Lithuania Business College,JAVA programuotojas (-a) (Integraciniams sprendimams),0.1978,122,.NET programuotojas (-a),0.241,106,PHP programuotojas (-a) | Mid / Strong Mid,0.1919,82,Full-stack software engineer,0.1849,155,Y,Y
21,Game Development,Vilnius Business College,Paid Summer Internship in the IT Department,0.3396,81,Paid Summer Internship in the IT Department,0.3107,81,Paid Summer Internship in the IT Department,0.3854,81,Paid Summer Internship in the IT Department,0.3291,81,,
22,Game Development and Digital Animation,Mykolas Romeris University,Game Designer,0.4884,287,Game Designer,0.4981,287,Game Designer,0.4224,287,Game Designer,0.5107,287,,
23,Artificial Intelligence Systems,Vilnius Gediminas Technical University,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.277,89,AI Practitioner,0.3232,140,AI Practitioner,0.3459,140,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.3185,89,Y,
24,Information Systems and Cyber Security,Vilnius University,Informacijos saugos specialistas (-ė),0.2994,91,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.3561,58,SOC analitikas (-ė) kibernetinių grėsmių paieškai,0.3017,129,Informacijos saugos specialistas (-ė),0.3763,91,Y,
25,Information Systems Engineering,Utena College,IT inžinierius (-ė),0.2133,259,IT On-site inžinierius,0.2598,432,IT inžinierius (-ė),0.2839,259,IT inžinierius (-ė),0.2873,259,,
26,Information Systems Engineering,Vilniaus kolegija / Higher Education Institution,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.5307,292,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.5403,292,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.5909,292,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.5232,292,,
27,Information System Engineering,Vilnius University,Data Scientist with verification,0.2325,514,Data Scientist with verification,0.328,514,Vyriausiasis (-oji) duomenų inžinierius (-ė),0.2625,52,Vyriausiasis (-oji) duomenų inžinierius (-ė),0.2988,52,Y,Y
28,Information Systems Technology,Šiaulių valstybinė kolegija / Higher Education Institution,Pardavimų inžinierius (-ė) KLAIPĖDA,0.3064,182,Pardavimų inžinierius (-ė) KLAIPĖDA,0.3252,182,IT sistemų ir skaitmenizacijos vadovas (-ė),0.3613,288,IT sistemų ir skaitmenizacijos vadovas (-ė),0.3656,288,Y,Y
29,Informatics Engineering,Kaunas University of Technology,AI Engineer (Applied AI) with verification,0.1725,487,IT SISTEMŲ ADMINISTRATORIUS (-Ė),0.2673,247,IT SISTEMŲ ADMINISTRATORIUS (-Ė),0.2172,247,IT SISTEMŲ ADMINISTRATORIUS (-Ė),0.2526,247,Y,Y
30,Informatics engineering,Klaipėda University,IT inžinierius (-ė),0.2576,67,IT On-site inžinierius,0.3104,432,Software Engineer (.Net) / Programuotojas inžinierius (.Net),0.3333,270,Software Engineer (.Net) / Programuotojas inžinierius (.Net),0.2864,270,Y,Y
31,Informatics Engineering,Klaipėdos valstybinė kolegija / Higher Education Institution,PLV programuotojas,0.3159,118,PLV programuotojas,0.4102,118,PLV programuotojas,0.402,118,PLV programuotojas,0.3861,118,,
32,Informatics Engineering,Panevėžio kolegija/State Higher Education Institution,IT administratorius (-ė) (Vilniaus oro uostas),0.1918,159,IT On-site inžinierius,0.2611,432,IT administratorius (-ė) (Vilniaus oro uostas),0.278,159,IT sistemų administratorius (-ė),0.2412,381,,Y
33,Cyber Systems and Security,Kauno kolegija / Higher Education Institution,PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS),0.2646,327,PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS),0.413,327,PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS),0.3958,327,PROGRAMUOTOJAS (-A) (PASTATŲ VALDYMAS),0.4182,327,,
34,Multimedia design,Vilnius Gediminas Technical University,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.329,103,UX/UI Designer with verification,0.3737,533,UX/UI Designer with verification,0.3822,533,UX/UI Designer with verification,0.4274,533,Y,Y
35,Multimedia technology,Kauno kolegija / Higher Education Institution,Mid/Senior Meta Media Buyer,0.3994,437,Mid/Senior Meta Media Buyer,0.4765,437,Mid/Senior Meta Media Buyer,0.5096,437,Mid/Senior Meta Media Buyer,0.5382,437,,
36,Multimedia Technologies,Kaunas University of Technology,Gameplay Programmer,0.1803,295,"Vyr. JAVA programuotojas (Vilnius, Lietuva)",0.3073,564,"Vyr. JAVA programuotojas (Vilnius, Lietuva)",0.265,564,Mid - Senior Windows sistemų administratorius (-ė),0.2898,332,Y,Y
37,Multimedia Technologies,Šiaulių valstybinė kolegija / Higher Education Institution,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.1991,103,IT Technikas,0.2833,49,IT Technikas,0.3113,49,IT Technikas,0.2462,49,Y,Y
38,Digital technologies and cyber security,Mykolas Romeris University,SOC analitikas (-ė) kibernetinių grėsmių paieškai,0.2159,129,Software Test Manager,0.2966,536,Software Test Manager,0.3089,536,DevOps and Cloud Engineer,0.2758,497,Y,Y
39,Programming and Multimedia,SMK College of Applied Sciences,PHP programuotojas (-a) | Mid / Strong Mid,0.2846,82,"Vyr. JAVA programuotojas (Vilnius, Lietuva)",0.4676,564,PHP programuotojas (-a) | Mid / Strong Mid,0.4793,82,"Vyr. JAVA programuotojas (Vilnius, Lietuva)",0.3897,564,,Y
40,Software Systems,Kauno kolegija / Higher Education Institution,IT specialisto (-ės) asistentas (-ė) Vilniuje,0.2671,310,SENIOR ERP SISTEMŲ (JAVA/KITA KALBA) PROGRAMUOTOJAS,0.3349,73,SENIOR ERP SISTEMŲ (JAVA/KITA KALBA) PROGRAMUOTOJAS,0.2854,73,SENIOR ERP SISTEMŲ (JAVA/KITA KALBA) PROGRAMUOTOJAS,0.3061,73,Y,Y
41,Software Systems,Kaunas University of Technology,AI Engineer (Applied AI) with verification,0.2021,487,IT ADMINISTRATORIUS (-Ė),0.3297,415,Senior / Mid Software Engineer (.NET / Delphi) I Teltonika Security,0.3112,105,Senior / Mid Software Engineer (.NET / Delphi) I Teltonika Security,0.3051,105,Y,Y
42,Software Engineering,Šiaulių valstybinė kolegija / Higher Education Institution,.NET programuotojas (-a),0.361,106,.NET programuotojas (-a),0.4181,106,.NET programuotojas (-a),0.3413,106,.NET programuotojas (-a),0.3081,106,,
43,Software Engineering,Vilniaus kolegija / Higher Education Institution,Full-Stack Developer – Remote,0.2198,178,FullStack Python Developer with verification,0.4356,547,FullStack Python Developer with verification,0.2826,547,FullStack Python Developer with verification,0.3967,547,Y,Y
44,Software Engineering,Vilnius University,Low-code programuotojas,0.4891,436,Low-code programuotojas,0.5039,436,Low-code programuotojas,0.7446,436,Low-code programuotojas,0.6551,436,,
