rank,programme_name,institution,job_title,employer_sector,location,job_url,hybrid_score,semantic_score,top_skill_gaps
1,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT SISTEMŲ ADMINISTRATORIŲ (-Ę),,Vilnius,https://en.cvbankas.lt/it-sistemu-administratoriu-e-vilniuje/1-13734017,0.3148,0.55,SQL; computer programming; think analytically; renewable energy; manage digital documents; digital identity management; security regulations; Lithuanian; Internet of Things; manufacturing processes
2,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT Vadovas (-ė),,Kaunas,https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.2604,0.6098,apply change management; risk management; perform warehousing operations; Lithuanian; Russian; plan; business management principles; apply information security policies; negotiate compromises; manage closed-circuit television system
3,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT skyriaus vadovas (-ė),,Vilnius,https://en.cvbankas.lt/it-skyriaus-vadovas-e-vilniuje/1-13758531,0.2328,0.6087,customer relationship management; ICT project management methodologies; management department processes; apply change management; lead others; security regulations; Lithuanian; Internet of Things; manufacturing processes; electronics
4,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT sistemų testuotojas (-a),,Kaunas,https://en.cvbankas.lt/it-sistemu-testuotojas-a-kaune/1-13761915,0.2097,0.5662,logic; MySQL; plan; morality; SQL; meet deadlines; document evidence
5,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),,Klaipėda,https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.2083,0.5544,troubleshoot; manage closed-circuit television system; assume responsibility; solve problems; renewable energy; manage digital documents; digital identity management; security regulations; MySQL; meet deadlines
6,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT administratorius (-ė),,Kaunas,https://en.cvbankas.lt/it-administratorius-e-kaune/1-13637509,0.2067,0.5891,digital identity management; renewable energy; manage digital documents; security regulations; consultation; solve problems; plan; assume responsibility; electrical equipment components; Lithuanian
7,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT Compliance & Process manager,,Vilnius,https://en.cvbankas.lt/it-compliance-process-manager-vilniuje/1-13722075,0.1852,0.5578,in-circuit test; root cause analysis; management department processes; risk management; think analytically; think innovatively
8,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,KIBERNETINIO SAUGUMO VADOVAS (-Ė),,Kaunas,https://en.cvbankas.lt/kibernetinio-saugumo-vadovas-e-kaune/1-13760617,0.1626,0.625,apply change management; digital data processing; security regulations; Lithuanian; Python (computer programming); penetration testing tool; think critically
9,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Cyber Security Specialist,,Vilnius,https://en.cvbankas.lt/cyber-security-specialist-vilniuje/1-13680669,0.1623,0.5909,Lithuanian; DevOps; web application security threats; in-circuit test; implement ICT recovery system; cloud security and compliance; security regulations; risk management; think analytically; Python (computer programming)
10,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT VERSLO ANALITIKAS (-Ė),,Vilnius,https://en.cvbankas.lt/it-verslo-analitikas-e-vilniuje/1-13685665,0.1497,0.587,"organise information, objects and resources; solution deployment; use online tools to collaborate; think analytically; solve problems; Lithuanian; consultation; DevOps; ICT project management methodologies; digital data processing"
1,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Compliance & Process manager,,Vilnius,https://en.cvbankas.lt/it-compliance-process-manager-vilniuje/1-13722075,0.221,0.5038,English; in-circuit test; root cause analysis; management department processes; think analytically; think innovatively
2,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,IT Vadovas (-ė),,Kaunas,https://en.cvbankas.lt/it-vadovas-e-kaune/1-13700339,0.2138,0.5188,apply change management; perform warehousing operations; Russian; plan; business management principles; apply information security policies; negotiate compromises; manage closed-circuit television system; trademarks; SQL
3,Development and Maintenance of Information Systems,Panevėžio kolegija/State Higher Education Institution,OSINT Specialistas,,Vilnius,https://en.cvbankas.lt/osint-specialistas-vilniuje/1-13474247,0.2063,0.5218,Maltego; English; Polish; social sciences; work independently; Python (computer programming); manage time
