programme_id,programme_name,baseline_job,baseline_score,variant_job,variant_score,score_delta,changed
520,Information Systems and Cybersecurity,IT skyriaus vadovas (-ė),0.2194,IT skyriaus vadovas (-ė),0.2201,0.0007,False
521,Development and Maintenance of Information Systems,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1463,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1457,-0.0005,False
522,Information Systems,IT ADMINISTRATORIUS (-Ė),0.1806,IT ADMINISTRATORIUS (-Ė),0.1785,-0.0021,False
523,Information Systems,IT sistemų testuotojas (-a),0.2523,IT sistemų testuotojas (-a),0.2488,-0.0036,False
524,Marketing Technologies,E-commerce Customer Success Manager (Account Manager),0.3244,E-commerce Customer Success Manager (Account Manager),0.3191,-0.0053,False
525,Bioinformatics,Data Analyst SQL Python with verification,0.7095,Data Analyst SQL Python with verification,0.7095,0.0,False
526,Artificial intelligence,MLOps engineer with expertise in Ray and Kubeflow vLLM SkyPikot on kubernetes,0.4142,MLOps engineer with expertise in Ray and Kubeflow vLLM SkyPikot on kubernetes,0.4155,0.0013,False
527,Information and Communication Technologies,Integration / Automation Engineer,0.2269,Integration / Automation Engineer,0.2219,-0.0051,False
528,Information Technologies,IT PASLAUGŲ VALDYMO ANALITIKĖ (-AS),0.2586,IT PASLAUGŲ VALDYMO ANALITIKĖ (-AS),0.26,0.0014,False
529,Informatics,IT sistemų administratorius (-ė),0.2565,IT sistemų administratorius (-ė),0.2538,-0.0027,False
530,Informatics,IT ADMINISTRATORIUS (-Ė),0.2494,Senior / Mid Software Engineer (.NET / Delphi) I Teltonika Security,0.2504,0.001,True
531,Informatics,BI programuotojas (-a),0.1478,BI programuotojas (-a),0.1473,-0.0005,False
532,Informatics,IT SUPPORTER with development opportunity in Data Integration,0.2426,IT SUPPORTER with development opportunity in Data Integration,0.2426,0.0,False
533,Informatics Systems,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.3426,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.3392,-0.0034,False
534,Cybersecurity Technologies,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.2966,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.2912,-0.0054,False
535,Computer games and animation,Gameplay Programmer,0.2613,Gameplay Programmer,0.2648,0.0035,False
536,Media Technologies,Junior Front-End Developer,0.2629,Junior Front-End Developer,0.2624,-0.0005,False
537,Multimedia and Internet Technologies,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,0.4541,Techninio aptarnavimo specialistas (-ė) - darbas studentams!,0.4328,-0.0213,False
538,Programming and Internet Technologies,Paid Summer Internship in the IT Department,0.2647,Paid Summer Internship in the IT Department,0.2684,0.0037,False
539,Digital Design Technologies,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.2641,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.2604,-0.0037,False
540,Applied Informatics and Programming,.NET programuotojas (-a),0.2267,.NET programuotojas (-a),0.2246,-0.0021,False
541,Game Development,Paid Summer Internship in the IT Department,0.4554,Paid Summer Internship in the IT Department,0.4554,0.0,False
542,Game Development and Digital Animation,Junior QA Mobile Game Tester,0.5419,Junior QA Mobile Game Tester,0.5409,-0.001,False
543,Artificial Intelligence Systems,Machine Learning Engineer (Mid-level),0.3939,Machine Learning Engineer (Mid-level),0.4022,0.0084,False
544,Information Systems and Cyber Security,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.3502,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),0.3423,-0.0079,False
545,Information Systems Engineering,IT sistemų testuotojas (-a),0.1897,IT sistemų testuotojas (-a),0.1875,-0.0022,False
546,Information Systems Engineering,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.4511,Robotizacijos ir automatizavimo vadovas (-ė) (valymo versle),0.4301,-0.0209,False
547,Information System Engineering,SAP DATA Services Developer with verification,0.2041,SAP DATA Services Developer with verification,0.2027,-0.0014,False
548,Information Systems Technology,Pardavimų inžinierius (-ė) KLAIPĖDA,0.2108,Pardavimų inžinierius (-ė) KLAIPĖDA,0.2217,0.0109,False
549,Informatics Engineering,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1373,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1374,0.0001,False
550,Informatics engineering,IT inžinierius (-ė),0.2439,IT inžinierius (-ė),0.2499,0.006,False
551,Informatics Engineering,PLV programuotojas,0.2138,PLV programuotojas,0.1976,-0.0161,False
552,Informatics Engineering,Jaunesnysis telekomunikacijų inžinierius (-ė),0.4643,Jaunesnysis telekomunikacijų inžinierius (-ė),0.4553,-0.009,False
553,Cyber Systems and Security,IT Compliance & Process manager,0.2288,IT Compliance & Process manager,0.2258,-0.003,False
554,Multimedia design,IT inžinierius (-ė),0.2218,IT inžinierius (-ė),0.2218,0.0,False
555,Multimedia technology,Product Manager,0.2445,Product Manager,0.2445,0.0,False
556,Multimedia Technologies,Gameplay Programmer,0.2779,Gameplay Programmer,0.2778,-0.0001,False
557,Multimedia Technologies,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.1791,Jaunesnysis (-ioji) socialinių tinklų reklamos dizaineris (-ė) / IT projektų specialistas (-ė),0.1773,-0.0018,False
558,Digital technologies and cyber security,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1665,KIBERNETINIO SAUGUMO VADOVAS (-Ė),0.1651,-0.0013,False
559,Programming and Multimedia,PHP programuotojas (-a) | Mid / Strong Mid,0.3974,PHP programuotojas (-a) | Mid / Strong Mid,0.3828,-0.0146,False
560,Software Systems,IT Compliance & Process manager,0.2443,IT Compliance & Process manager,0.2427,-0.0016,False
561,Software Systems,AI Engineer (Applied AI) with verification,0.1578,Senior / Mid Software Engineer (.NET / Delphi) I Teltonika Security,0.1749,0.0171,True
562,Software Engineering,Join our team as a JUNIOR System Analyst!,0.2445,Join our team as a JUNIOR System Analyst!,0.2408,-0.0037,False
563,Software Engineering,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2268,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,0.2247,-0.0021,False
564,Software Engineering,Low-code programuotojas,0.4378,Low-code programuotojas,0.4378,0.0,False
