rank,programme_name,institution,job_title,job_url,hybrid_score,semantic_score,top_skill_gaps
1,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT inžinierius,https://en.cvbankas.lt/it-inzinierius-naujojoje-akmeneje/1-13742959,0.2848,0.5184,
2,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT INFRASTRUKTŪROS ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-infrastrukturos-administratorius-e-klaipedoje/1-13736439,0.2691,0.5015,troubleshoot; make independent operating decisions; renewable energy
3,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT sistemų ir kibernetinio saugumo administratorius (-ė),https://en.cvbankas.lt/it-sistemu-ir-kibernetinio-saugumo-administratorius-e-kaune/1-13608923,0.2453,0.4884,renewable energy; digital identity management; security regulations
4,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Vyresnysis specialistas (kibernetinio saugumo užtikrinimui),https://en.cvbankas.lt/vyresnysis-specialistas-kibernetinio-saugumo-uztikrinimui-siauliuose/1-13749227,0.2451,0.5291,Lithuanian; provide information; plan
5,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Verslo sistemų ir procesų analitikas (-ė),https://en.cvbankas.lt/verslo-sistemu-ir-procesu-analitikas-e-vilniuje/1-13699299,0.2187,0.4973,
6,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Kompiuterinių sistemų administratorius (-ė),https://www.linkedin.com/jobs/view/4389559392/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=wtJkLukXXRGnKj5%2Fw9qzXA%3D%3D&trackingId=kbW0mcSjalgSYWL9txk19g%3D%3D&trk=flagship3_search_srp_jobs,0.2164,0.5891,SAP Data Services; think analytically; assume responsibility
7,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Informacijos saugos specialistas (-ė),https://en.cvbankas.lt/informacijos-saugos-specialistas-e-vilniuje/1-13751575,0.2047,0.5769,
8,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Software helpdesk – junior IT Analyst,https://en.cvbankas.lt/software-helpdesk-junior-it-analyst-vilniuje/1-13753555,0.2038,0.5045,
9,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT SISTEMŲ ADMINISTRATORIUS (-Ė) / INŽINIERIUS (-Ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-inzinierius-e-vilniuje/1-13341443,0.1962,0.5605,Lithuanian; apply information security policies; manage time
10,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Naudotojų Technologijų vadovas (-ė),https://en.cvbankas.lt/naudotoju-technologiju-vadovas-e-vilniuje/1-13750805,0.1948,0.4719,
11,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,DIRBTINIO INTELEKTO INŽINIERĖ (-IUS) IT skyriuje,https://en.cvbankas.lt/dirbtinio-intelekto-inziniere-ius-it-skyriuje-vilniuje/1-13749365,0.1912,0.5403,
12,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT specialisto (-ės) asistentas (-ė) Vilniuje,https://en.cvbankas.lt/it-specialisto-es-asistentas-e-vilniuje-vilniuje/1-13697171,0.1867,0.4647,
13,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT SISTEMŲ ADMINISTRATORIUS (-Ė),https://en.cvbankas.lt/it-sistemu-administratorius-e-vilniuje/1-13716003,0.1798,0.558,MySQL; ICT encryption; think analytically
14,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,SOC analitikas (-ė) kibernetinių grėsmių paieškai,https://en.cvbankas.lt/soc-analitikas-e-kibernetiniu-gresmiu-paieskai-vilniuje/1-13395656,0.1791,0.5255,
15,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,INŽINIERIUS – IT/IS SISTEMŲ ADMINISTRATORIUS,https://en.cvbankas.lt/inzinierius-it-is-sistemu-administratorius-vilniuje/1-8318983,0.1789,0.5247,
16,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,SAUGUMO SPRENDIMŲ ARCHITEKTAS (-Ė),https://en.cvbankas.lt/saugumo-sprendimu-architektas-e-vilniuje/1-13713875,0.1741,0.534,
17,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Pardavimų inžinierius (-ė) KLAIPĖDA,https://en.cvbankas.lt/pardavimu-inzinierius-e-klaipeda-klaipedoje/1-13737297,0.1659,0.4539,
18,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,OSINT Specialistas,https://en.cvbankas.lt/osint-specialistas-vilniuje/1-13474247,0.162,0.5088,
19,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Verslo aplikacijų ekspertas (-ė) (Terminuota darbo sutartis),https://en.cvbankas.lt/verslo-aplikaciju-ekspertas-e-terminuota-darbo-sutartis-vilniuje/1-13706263,0.1577,0.5303,
20,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT specialistas (-ė),https://en.cvbankas.lt/it-specialistas-e-klaipedoje/1-13478631,0.1488,0.4903,
21,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Pažeidžiamumų valdymo – įsilaužimų testavimo specialistas (-ė),https://en.cvbankas.lt/pazeidziamumu-valdymo-isilauzimu-testavimo-specialistas-e-vilniuje/1-13194248,0.1483,0.4916,
22,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,Microsoft produktų vadovas (-ė) (Technical Presales),https://en.cvbankas.lt/microsoft-produktu-vadovas-e-technical-presales-vilniuje/1-13750625,0.1421,0.4593,
23,Information Systems and Cybersecurity,Vilniaus kolegija / Higher Education Institution,IT projektų vadovas (-ė),https://en.cvbankas.lt/it-projektu-vadovas-e-kaune/1-13750717,0.1421,0.5276,
